id,name,sameAs,sameAsNote,validThrough,census_geoid,census_geoid_12,census_geoid_14,openstates_district,placeholder_id,sch_dist_stateid,state_id,validFrom
ocd-division/country:us/state:tx/place:abbott,Abbott city,,,,place-4800100,,,,,,,
ocd-division/country:us/state:tx/place:abernathy,Abernathy city,,,,place-4800160,,,,,,,
ocd-division/country:us/state:tx/place:abilene,Abilene city,,,,place-4801000,,,,,,,
ocd-division/country:us/state:tx/place:ackerly,Ackerly city,,,,place-4801108,,,,,,,
ocd-division/country:us/state:tx/place:addison,Addison town,,,,place-4801240,,,,,,,
ocd-division/country:us/state:tx/place:adrian,Adrian city,,,,place-4801324,,,,,,,
ocd-division/country:us/state:tx/place:agua_dulce,Agua Dulce city,,,,place-4801396,,,,,,,
ocd-division/country:us/state:tx/place:alamo,Alamo city,,,,place-4801576,,,,,,,
ocd-division/country:us/state:tx/place:alamo_heights,Alamo Heights city,,,,place-4801600,,,,,,,
ocd-division/country:us/state:tx/place:alba,Alba town,,,,place-4801636,,,,,,,
ocd-division/country:us/state:tx/place:albany,Albany city,,,,place-4801648,,,,,,,
ocd-division/country:us/state:tx/place:aledo,Aledo city,,,,place-4801744,,,,,,,
ocd-division/country:us/state:tx/place:alice,Alice city,,,,place-4801852,,,,,,,
ocd-division/country:us/state:tx/place:allen,Allen city,,,,place-4801924,,,,,,,
ocd-division/country:us/state:tx/place:alma,Alma town,,,,place-4802044,,,,,,,
ocd-division/country:us/state:tx/place:alpine,Alpine city,,,,place-4802104,,,,,,,
ocd-division/country:us/state:tx/place:alto,Alto town,,,,place-4802188,,,,,,,
ocd-division/country:us/state:tx/place:alton,Alton city,,,,place-4802212,,,,,,,
ocd-division/country:us/state:tx/place:alvarado,Alvarado city,,,,place-4802260,,,,,,,
ocd-division/country:us/state:tx/place:alvin,Alvin city,,,,place-4802272,,,,,,,
ocd-division/country:us/state:tx/place:alvord,Alvord town,,,,place-4802284,,,,,,,
ocd-division/country:us/state:tx/place:amarillo,Amarillo city,,,,place-4803000,,,,,,,
ocd-division/country:us/state:tx/place:ames,Ames city,,,,place-4803072,,,,,,,
ocd-division/country:us/state:tx/place:amherst,Amherst city,,,,place-4803084,,,,,,,
ocd-division/country:us/state:tx/place:anahuac,Anahuac city,,,,place-4803144,,,,,,,
ocd-division/country:us/state:tx/place:anderson,Anderson city,,,,place-4803192,,,,,,,
ocd-division/country:us/state:tx/place:andrews,Andrews city,,,,place-4803216,,,,,,,
ocd-division/country:us/state:tx/place:angleton,Angleton city,,,,place-4803264,,,,,,,
ocd-division/country:us/state:tx/place:angus,Angus city,,,,place-4803288,,,,,,,
ocd-division/country:us/state:tx/place:anna,Anna city,,,,place-4803300,,,,,,,
ocd-division/country:us/state:tx/place:annetta,Annetta town,,,,place-4803336,,,,,,,
ocd-division/country:us/state:tx/place:annetta_north,Annetta North town,,,,place-4803340,,,,,,,
ocd-division/country:us/state:tx/place:annetta_south,Annetta South town,,,,place-4803342,,,,,,,
ocd-division/country:us/state:tx/place:annona,Annona town,,,,place-4803360,,,,,,,
ocd-division/country:us/state:tx/place:anson,Anson city,,,,place-4803372,,,,,,,
ocd-division/country:us/state:tx/place:anthony,Anthony town,,,,place-4803432,,,,,,,
ocd-division/country:us/state:tx/place:anton,Anton city,,,,place-4803540,,,,,,,
ocd-division/country:us/state:tx/place:appleby,Appleby city,,,,place-4803564,,,,,,,
ocd-division/country:us/state:tx/place:aquilla,Aquilla city,,,,place-4803588,,,,,,,
ocd-division/country:us/state:tx/place:aransas_pass,Aransas Pass city,,,,place-4803600,,,,,,,
ocd-division/country:us/state:tx/place:archer_city,Archer City city,,,,place-4803696,,,,,,,
ocd-division/country:us/state:tx/place:arcola,Arcola city,,,,place-4803708,,,,,,,
ocd-division/country:us/state:tx/place:argyle,Argyle city,,,,place-4803768,,,,,,,
ocd-division/country:us/state:tx/place:arlington,Arlington city,,,,place-4804000,,,,,,,
ocd-division/country:us/state:tx/place:arp,Arp city,,,,place-4804156,,,,,,,
ocd-division/country:us/state:tx/place:asherton,Asherton city,,,,place-4804300,,,,,,,
ocd-division/country:us/state:tx/place:aspermont,Aspermont town,,,,place-4804408,,,,,,,
ocd-division/country:us/state:tx/place:athens,Athens city,,,,place-4804504,,,,,,,
ocd-division/country:us/state:tx/place:atlanta,Atlanta city,,,,place-4804516,,,,,,,
ocd-division/country:us/state:tx/place:aubrey,Aubrey city,,,,place-4804600,,,,,,,
ocd-division/country:us/state:tx/place:aurora,Aurora city,,,,place-4804672,,,,,,,
ocd-division/country:us/state:tx/place:austin,Austin city,,,,place-4805000,,,,,,,
ocd-division/country:us/state:tx/place:austwell,Austwell city,,,,place-4805036,,,,,,,
ocd-division/country:us/state:tx/place:avery,Avery town,,,,place-4805072,,,,,,,
